event count, events value, impact
1,1440.0,0.26275547713571534
2,5785.0,0.04979659853943052
3,8305.0,0.07371464980640098
4,5996.0,0.03945498211047391
5,3152.0,0.17884624810076946
6,9047.0,0.11008185070822922
7,5050.0,0.08582071264029804
8,134.0,0.32676567171494386
9,2202.0,0.22540802823114248
10,6983.0,0.008920256824976764
11,4030.0,0.13581336078027745
12,773.0,0.29544674802725085
13,3586.0,0.02268155870264128
14,541.0,0.05059603734656874
15,5250.0,0.007427144100508224
16,2652.0,0.031243832283405996
17,427.0,0.05164111142387829
18,1374.0,0.04295966272903464
19,2601.0,0.03171136542325498
20,8704.0,0.024236766978679023
21,7114.0,0.009660733795150474
22,2798.0,0.029905404079132267
23,7080.0,0.009349045035251006
24,7941.0,0.017242104513878854
25,9810.0,0.034375818991875626
26,2640.0,0.04157391589446252
27,8979.0,0.016319409172534233
28,4126.0,0.004706558915221446
29,375.0,0.026475121770762843
30,8729.0,0.02022500359660465
31,8301.0,0.017832418768111435
32,9887.0,0.026698398997061015
33,4143.0,0.004905592600076345
34,7084.0,0.006099249380720415
35,8746.0,0.01231823862658378
36,2685.0,0.010361240205653238
37,2859.0,0.007400839846272466
38,2878.0,0.018889696482891856
39,4383.0,0.010488837469097895
40,2443.0,0.02287009230034014
41,546.0,0.03497691725645683
42,322.0,0.03640650544315699
43,9072.0,0.019436783099817008
44,3871.0,0.013756467610126758
45,8293.0,0.014465134896962436
46,3565.0,0.015709387186601
47,3984.0,0.017135848565102266
48,4906.0,0.0016072793092855424
49,7259.0,0.005558766740865521
50,8402.0,0.009843281164602943
51,579.0,0.01107090566234112
52,8098.0,0.004930632687396309
53,2486.0,0.006009914781581113
54,9462.0,0.007626819506517282
55,6270.0,0.0013047325289460704
56,4459.0,0.002080826313678216
57,458.0,0.009560462387306146
58,7261.0,0.00315734921201665
59,5541.0,1.184532616308234E-4
60,5656.0,1.23257449681706E-4
61,1948.0,0.006699705199217331
62,3562.0,0.003623151688138461
63,2811.0,0.004444367829421571
64,574.0,0.007669900495448076
65,5759.0,2.3543338396405685E-4
66,8369.0,0.003786521617041894
67,9813.0,0.00560760031059549
68,4672.0,0.0011981479596665065
69,1672.0,0.00486723629771735
70,8871.0,0.004160992131798611
71,2134.0,0.004133503104724423
72,7491.0,0.0024516748774389223
73,2267.0,0.003970010726223883
74,9072.0,0.004395144429389707
75,5555.0,7.181589415200502E-5
76,8234.0,0.003365019518235468
77,5707.0,1.894955067032571E-4
78,9615.0,0.004505669154396835
79,735.0,0.005457857134659367
80,2330.0,0.0036712364295557734
81,7661.0,0.0024592238668791773
82,4648.0,0.001043582777134234
83,399.0,0.005987591199038432
84,5126.0,4.934549909185532E-4
85,1220.0,0.0051521389286060685
86,3344.0,0.0019992026442129484
87,2167.0,0.0031625353590714277
88,1155.0,0.0042650209128994995
89,548.0,0.005007832905170133
90,2235.0,0.0028688198749971605
91,6884.0,0.0012180455675433726
92,2658.0,0.002448304429259255
93,2076.0,0.002940889880820896
94,2572.0,0.0024265996099500703
95,8910.0,0.002785669440569965
96,1842.0,0.002965212909898241
97,8360.0,0.0022935793378942824
98,66.0,0.004333231668200396
99,1301.0,0.003346480813061016
100,471.0,0.0026988036476665624
101,818.0,0.0031747267990323777
102,9839.0,0.0030403086111148126
103,8252.0,0.00200660529890064
104,694.0,0.0031765271458196517
105,9279.0,0.002768914783556296
106,648.0,0.0035124687362347935
107,8599.0,0.0018620664431378765
108,7906.0,0.0014433651935630717
109,9586.0,0.002458398525865754
110,1777.0,0.002259693909820163
111,8475.0,0.0017797767350308004
