event count, events value, impact
1,4906.0,0.13716787620704132
2,7259.0,0.043083628221275955
3,8402.0,0.0026190047781843627
4,579.0,0.31018213079029966
5,8098.0,0.00953637617705272
6,2486.0,0.23393110617965177
7,9462.0,0.04500289889841853
8,6270.0,0.08262860113156997
9,4459.0,0.1550410843879326
10,458.0,0.04647261023599701
11,7261.0,0.009370149711460506
12,5541.0,0.008641601310489494
13,5656.0,0.007437327259603258
14,1948.0,0.07967743366937352
15,3562.0,0.08613896991249448
16,2811.0,0.11014504335317851
17,574.0,0.03783250504754795
18,5759.0,0.004584721259077614
19,8369.0,0.013123662475499419
20,9813.0,0.022590614573966522
21,4672.0,0.0035382298538949373
22,1672.0,0.018625493272476534
23,8871.0,0.018801646417266393
24,2134.0,0.01508554428051259
25,7491.0,0.00989208672564908
26,2267.0,0.012425412194685074
27,9072.0,0.015157923875432525
28,5555.0,0.0016125182636449297
29,8234.0,0.011846424328993488
30,5707.0,0.0021931654162888185
31,9615.0,0.017030881691321546
32,735.0,0.015359244984184
33,2330.0,0.009739503417728366
34,7661.0,0.007173567094159354
35,4648.0,0.002024270559729639
36,399.0,0.025470076807760207
37,5126.0,0.0010399756109738816
38,1220.0,0.008560128738722817
39,3344.0,0.004270371242691825
40,2167.0,0.005870955654024984
41,1155.0,0.007349939569271962
42,548.0,0.00744021502438758
43,2235.0,0.005108403479301256
44,2937.0,0.003762018925125176
45,6884.0,0.002072662951289943
46,2658.0,0.003921928266002834
47,2076.0,0.004747496673117049
48,2572.0,0.003852140689936253
49,8910.0,0.004908854821468309
50,1842.0,0.004861217168845352
51,8360.0,0.004053470378986285
52,66.0,0.006956361237360624
53,1301.0,0.00520768973673799
54,471.0,0.006090348128293059
55,818.0,0.005665756763503981
56,9839.0,0.0053723951147725485
57,8252.0,0.003430532014137929
58,694.0,0.005817483937088568
59,9279.0,0.003944365675454839
60,648.0,0.005290890692923005
61,8599.0,0.003358808586009455
62,7906.0,0.07555017526345194
63,9586.0,0.023900010415581704
64,1777.0,0.004316743100152964
65,8475.0,0.0034764002260400306
66,528.0,0.005059414738469635
67,4800.0,7.812864654806056E-4
