event count, events value, impact
1,1057.0,Infinity
2,8784.0,0.01608638166593213
3,7152.0,0.10599382988100485
4,7524.0,0.08550022036139268
5,2064.0,0.38629352137505507
6,2219.0,0.37775451740855004
7,134.0,0.49261789334508593
8,7394.0,0.09266196562362274
9,5141.0,0.21678052005288673
10,4245.0,0.26614147201410315
11,4042.0,0.09871244635193129
12,9984.0,0.082801342691486
13,9490.0,0.0720970955860154
14,1440.0,0.052594247079774135
15,5785.0,0.00423571076433969
16,8305.0,0.03245777811879251
17,5996.0,0.004898676010469185
18,3152.0,0.029045926153269085
19,9047.0,0.04131392959751738
20,5050.0,0.00742871354577796
21,134.0,0.05430379440784765
22,2202.0,0.034985570128297214
23,6983.0,0.0096761466417854
24,4030.0,0.017909306113298044
25,773.0,0.04833457520347978
26,3586.0,0.02205693260271802
27,541.0,0.05050180345921283
28,5250.0,0.006512674768495613
29,2652.0,0.030781894632263506
30,427.0,0.05156673458487466
31,1374.0,0.04272033304099924
32,2601.0,0.03125831118848076
33,8704.0,0.02575287003883864
34,7114.0,0.010899883286186254
35,2798.0,0.02941803547132809
36,7080.0,0.010582272248708186
37,7941.0,0.019057230735431408
38,9810.0,0.035310594826165866
39,2640.0,0.024784739070453317
40,8979.0,0.030043549524068926
41,4126.0,0.011931791152570365
42,375.0,0.0443755378820314
43,8729.0,0.023785957736877913
44,8301.0,0.01824823701666548
45,9887.0,0.02833611292941969
46,4143.0,0.009643392826353273
47,7084.0,0.00980259018683064
48,8746.0,0.020791785619646574
49,2685.0,0.018798429353578377
50,2859.0,0.016990307173321118
51,2878.0,0.014461132770672049
52,4383.0,0.004975891048532809
53,2443.0,0.013979508272569028
54,546.0,0.02100856106139478
55,322.0,0.006557273773583883
56,9072.0,0.012494423751373608
57,3871.0,0.0058888693354656645
58,8293.0,0.008194516878271453
59,3565.0,0.006020297117404478
60,3984.0,0.004622879109225875
61,4906.0,0.0022514330966615587
62,7259.0,0.0036251888187998236
63,8402.0,0.006085767535806968
64,579.0,0.011532736547831733
65,8098.0,0.005622557667153737
66,2486.0,0.010351979694328056
67,9462.0,0.013544734369148307
68,6270.0,0.002610343415791507
69,4459.0,0.0026203820333622987
70,458.0,0.011380473104737483
71,7261.0,0.002956417265257743
72,5541.0,6.683734794714117E-4
73,5656.0,4.26018284329547E-4
74,1948.0,0.007259588781212232
75,3562.0,0.004108921158536978
76,2811.0,0.005534312424174149
77,574.0,0.009780118364560816
78,5759.0,6.09651405372434E-5
79,8369.0,0.004825560048446955
80,9813.0,0.007145965922929461
81,4672.0,0.0018075175245623163
82,1672.0,0.007132962244027894
83,8871.0,0.0056463299344497245
84,2134.0,0.006134286831566232
85,7491.0,0.003068156726976986
