events count, event value, event impact
1,7201.0,28.29308909242298
2,2873.0,14.490308065074416
3,325.0,61.41274098062035
4,5640.0,114.58169420403883
5,4880.0,23.857247616719622
6,2217.0,34.36944937833037
7,76.0,52.45827695083446
8,2122.0,4.135437212360291
9,4817.0,4.866264316576371
10,3159.0,0.6391648317543799
11,9369.0,16.48883892509021
12,6053.0,3.1710449809393273
13,467.0,12.005199650135063
14,2296.0,6.208605517752786
15,6869.0,3.034904443832669
16,6787.0,6.316855009121812
17,5939.0,13.705938152153303
18,1457.0,3.4207224460146604
19,9844.0,7.244582651391152
20,5339.0,4.885128673388816
21,7916.0,0.8609093354856138
22,8778.0,4.996847727939292
23,6976.0,0.04777212958124549
24,130.0,1.783198160845158
25,2377.0,3.7380431407915538
26,7856.0,2.0182456590402724
27,6257.0,2.520975496806017
28,7185.0,1.5602267070710587
29,1870.0,1.826813114524607
30,7188.0,3.6036598928221037
31,6694.0,1.2539376126840953
32,7063.0,1.3945247611300433
33,7835.0,1.757404187516543
34,4442.0,0.3141151441216825
35,6660.0,0.9408151870463448
36,6877.0,0.9984534414105407
37,2432.0,2.328996294210349
38,3105.0,1.3396467945104904
39,9558.0,0.9708964338695922
40,7905.0,1.3646396617746264
41,7199.0,0.9550053323966113
42,6152.0,1.352843410164355
43,3545.0,2.645444568473713
44,5026.0,0.1471358591007038
45,1014.0,2.005771466196293
46,9163.0,1.616109615110917
47,7489.0,0.8985297524627225
48,7310.0,1.6799093182954479
49,549.0,1.6588873937289104
50,7374.0,0.7853406222232605
51,5707.0,0.17784201918533796
52,8351.0,0.40831495381127225
53,808.0,0.027499534885762962
54,7925.0,2.0707718539353
55,4584.0,0.22144761931674342
56,303.0,2.4283013229204586
57,5996.0,0.23653680064607233
58,4460.0,0.21205628826850204
59,4921.0,1.5923338331327652
60,9817.0,1.45544580080487
61,3716.0,0.657127828140173
62,1776.0,0.8701464438640332
63,3555.0,0.6458490543073325
64,9732.0,1.2123935940384212
65,4097.0,2.5145897340246557
66,5572.0,0.45288735572153654
67,572.0,0.49352083898082283
68,4121.0,2.096653607762519
69,4838.0,0.2549748939576492
70,9887.0,0.09855758303392018
71,2550.0,1.0513013248910088
72,5881.0,0.6242721914838548
73,1133.0,0.14654502819306023
74,594.0,0.4786615856438485
75,105.0,1.2367609966179876
76,9100.0,0.314752597531148
77,6228.0,1.5293457374959474
78,8767.0,0.20598441023883893
79,8011.0,2.008165799415896
80,3582.0,0.726556624414802
81,7107.0,0.5496698623130994
82,9317.0,0.5106406669571252
83,1938.0,0.273074659904452
84,9214.0,0.4177052431671988
85,9547.0,0.17551591383893944
86,3279.0,2.422584924885052
87,6909.0,3.68473459968347
88,6597.0,0.5482694639235728
89,9352.0,0.24455317236137133
90,1939.0,1.385084009870588
91,2177.0,0.9406874660523797
92,5879.0,0.09940781992740574
93,7912.0,0.4913999660733571
94,7607.0,0.2402870194290223
95,8640.0,0.6953399273383196
96,2349.0,1.1787685637586285
97,4318.0,0.6294322939277949
98,9506.0,0.21275409908884077
99,5149.0,1.1882559758762683
100,3435.0,0.6098616628428316
101,3068.0,1.0123673978671308
102,6323.0,1.1801009122795632
103,8728.0,1.5419849227062368
104,1797.0,0.6302075333429417
105,5060.0,0.03907818179275759
106,5379.0,0.018137878050077275
107,2410.0,0.5031007724482888
108,4753.0,0.0870083286888107
109,55.0,0.5410563213945473
110,1637.0,0.6127508712094846
111,7287.0,1.5215831616905953
112,9265.0,0.8131780520313864
113,666.0,0.7653217231485953
114,801.0,0.7351586905630165
115,2742.0,0.4025539666725592
116,2755.0,0.5823201064345386
117,7206.0,0.3826009498297225
118,1534.0,0.34397893871662455
119,7468.0,0.5923286608279881
120,3044.0,0.39058771752141475
121,199.0,0.212189718404131
122,6682.0,0.7812524330570187
123,6161.0,1.233397153905651
124,8552.0,0.9986913422275883
125,7150.0,1.0102071061450335
126,5326.0,0.038225985768271686
127,1116.0,0.586445906197542
128,2392.0,0.3922530157362027
129,2849.0,0.6289024381044743
130,5088.0,0.16977605693395026
131,2362.0,0.003927092936397528
132,5829.0,0.4233625521016005
133,2999.0,0.11723339088516162
134,6770.0,0.8369017963301235
135,1191.0,0.5613827314284154
136,4634.0,0.05441114833547929
137,4649.0,0.05147982948876965
138,8874.0,0.5569106364697586
139,9519.0,0.6375112177993927
140,4374.0,0.7065891212516587
141,3609.0,0.09136957836308811
142,2088.0,0.20042936811165926
143,6731.0,0.056257981580982865
144,5238.0,0.40638082952748417
145,7827.0,0.02448293137766051
146,8224.0,0.4503092400643887
147,5448.0,0.048952406556121764
148,421.0,0.9606116787432482
149,4897.0,0.598929696383295
150,4237.0,0.02166723515278478
151,2943.0,0.10824708302514889
152,735.0,0.2797112068646651
153,9743.0,0.574123463603965
154,6106.0,1.9439136778410226
155,3398.0,0.12231059064839502
156,4087.0,0.1816444860352868
157,604.0,0.10534977764070705
158,9469.0,0.5027101698761008
159,4347.0,0.5033680135598184
160,4998.0,0.07773348392987758
161,1992.0,0.0032748753595076385
162,8615.0,0.35304009029190214
163,9111.0,0.41640860053436174
164,903.0,0.48152524854601103
165,3617.0,0.4877172272826629
166,8310.0,0.9335522553988886
167,2768.0,0.7588207952885174
168,2185.0,0.27102540943144754
169,3684.0,0.3435989412673817
170,1111.0,0.5811528343121893
171,9952.0,0.7515818246042356
172,8330.0,0.4108903386755801
173,680.0,0.006550682472554154
174,4458.0,0.05891239620395046
175,9319.0,0.42320884696531663
176,9882.0,0.5358673464898189
177,6981.0,0.5927286204677564
178,1378.0,0.2441161453845061
179,5316.0,0.452720894461678
180,4746.0,0.0368472995275381
181,6699.0,0.034537866128257814
182,4141.0,0.2127504006500198
183,2840.0,0.1112922689076943
184,4566.0,0.2799196573930674
185,8013.0,0.786488018792688
186,405.0,0.28592112878114495
187,6129.0,0.45539207950505134
188,6082.0,0.10288823957804386
189,5286.0,0.024523842130399535
190,6894.0,0.02150280315103176
191,7276.0,0.18433755823121947
192,2959.0,0.15759729253563545
193,1234.0,0.2170164546476937
194,8786.0,0.23111835824905622
195,7851.0,0.6306583720332067
